nameKor,﻿Internal ID,Name,Storage Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,Closet Image,Seasonal Availability,Style,Label Themes,Variation,Villager Equippable,Miles Price
사과 우산,9948,apple umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaApple0.png,5600,1400,제작,,노란색,빨간색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaApple0Cropped.png,일 년 내내,,,,Yes,NA
박쥐 우산,6919,bat umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBat0.png,840,210,너굴 상점,,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBat0Cropped.png,일 년 내내,,,,Yes,NA
해변가 우산,9957,beach umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBeach0.png,770,192,너굴 상점,,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBeach0Cropped.png,일 년 내내,,,,Yes,NA
곰 우산,7167,bear umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBear0.png,1570,392,너굴 상점,증축 후 너굴상점,갈색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBear0Cropped.png,일 년 내내,,,,Yes,NA
검정 시크 우산,12137,black chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace5.png,1620,405,너굴 상점,증축 후 너굴상점,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace5Cropped.png,일 년 내내,,,,Yes,NA
검정 레이스 우산,6915,black lace umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaRace0.png,750,187,너굴 상점,,검정색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaRace0Cropped.png,일 년 내내,,,,Yes,NA
파란 물방울 우산,9956,blue dot parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot2.png,750,187,너굴 상점,,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot2Cropped.png,일 년 내내,,,,Yes,NA
블루 리본 레이스 우산,12134,blue shiny-bows parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace2.png,1620,405,너굴 상점,증축 후 너굴상점,파란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace2Cropped.png,일 년 내내,,,,Yes,NA
파란 우산,9959,blue umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard2.png,770,192,너굴 상점,,파란색,파란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard2Cropped.png,일 년 내내,,,,Yes,NA
부러진 우산,7182,busted umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaBroken0.png,1570,392,너굴 상점,증축 후 너굴상점,검정색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaBroken0Cropped.png,일 년 내내,,,,Yes,NA
밀리터리 우산,6923,camo umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaOutdoor0.png,650,162,너굴 상점,,초록색,베이지색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaOutdoor0Cropped.png,일 년 내내,,,,Yes,NA
딸기 깅엄 우산,6926,candy umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGingham0.png,770,192,너굴 상점,,분홍색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGingham0Cropped.png,일 년 내내,,,,Yes,NA
체리 우산,9949,cherry umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherry0.png,5600,1400,제작,,빨간색,빨간색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherry0Cropped.png,일 년 내내,,,,Yes,NA
벚꽃 우산,9945,cherry-blossom umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaCherryblossom0.png,11200,2800,제작,,분홍색,초록색,비매품,Yes,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaCherryblossom0Cropped.png,일 년 내내,,,,Yes,NA
DAL 우산,9560,DAL umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaDoc0.png,4040,1010,도도항공,DAL 우편으로 옴,파란색,파란색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaDoc0Cropped.png,일 년 내내,,,,Yes,NA
노란 물방울 우산,9955,eggy parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaPolkadot1.png,750,187,너굴 상점,,노란색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPolkadot1Cropped.png,일 년 내내,,,,Yes,NA
오리엔탈 우산,7171,exquisite parasol,https://acnhcdn.com/latest/FtrIcon/UmbrellaChina0.png,1670,417,너굴 상점,증축 후 너굴상점,노란색,분홍색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaChina0Cropped.png,일 년 내내,,,,Yes,NA
메르헨 우산,7175,fairy-tale umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFairytale0.png,820,205,너굴 상점,,초록색,노란색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFairytale0Cropped.png,일 년 내내,,,,Yes,NA
물고기 우산,8768,fish umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFish0.png,320,80,낚시대회,,파란색,하늘색,비매품,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFish0Cropped.png,일 년 내내,,,,Yes,NA
개구리 우산,6925,frog umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaFrog0.png,1570,392,너굴 상점,증축 후 너굴상점,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaFrog0Cropped.png,일 년 내내,,,,Yes,NA
3색 우산,7180,gelato umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTricolor0.png,750,187,너굴 상점,,컬러풀,컬러풀,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTricolor0Cropped.png,일 년 내내,,,,Yes,NA
해나와라 우산,6924,ghost umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaTeruteru0.png,1670,417,너굴 상점,증축 후 너굴상점,하얀색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaTeruteru0Cropped.png,일 년 내내,,,,Yes,NA
포도 우산,6911,grape umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaGrape0.png,1550,387,너굴 상점,증축 후 너굴상점,보라색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaGrape0Cropped.png,일 년 내내,,,,Yes,NA
초록 시크 우산,12136,green chic umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaPacodarace4.png,1620,405,너굴 상점,증축 후 너굴상점,초록색,검정색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaPacodarace4Cropped.png,일 년 내내,,,,Yes,NA
초록 우산,9960,green umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaStandard3.png,770,192,너굴 상점,,초록색,초록색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaStandard3Cropped.png,일 년 내내,,,,Yes,NA
수국 우산,6906,hydrangea umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaHydrangea0.png,750,187,너굴 상점,,하늘색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaHydrangea0Cropped.png,일 년 내내,,,,Yes,NA
가부키 우산,7177,kabuki umbrella,https://acnhcdn.com/latest/FtrIcon/UmbrellaKabuki0.png,1670,417,너굴 상점,증축 후 너굴상점,보라색,하얀색,구매가능,No,1x1,https://acnhcdn.com/latest/ClosetIcon/UmbrellaKabuki0Cropped.png,일 년 내내,,,,Yes,NA
