Internal ID	Name	Framed Image	Buy	Sell	Source	Source Notes	Color 1	Color 2	Catalog	DIY	Size	Album Image
2472	K.K.형사	https://acnhcdn.com/latest/FtrIcon/mjk_Keiji.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '잘 모르겠어요' 선택 시 확률적으로 가능	갈색	주황색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Keiji.png
2423	알로하K.K.	https://acnhcdn.com/latest/FtrIcon/mjk_Aloha.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '나른해요' 선택 시 확률적으로 가능	갈색	하늘색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Aloha.png
4312	동물의 마을	https://acnhcdn.com/latest/FtrIcon/mjk_DoubutuNoMachi.png	null	800	K.K.의 공연	신청곡	갈색	없음	비매품	No	1x1	https://acnhcdn.com/latest/Audio/mjk_DoubutuNoMachi.png
2492	K.K.아이돌	https://acnhcdn.com/latest/FtrIcon/mjk_Idol.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '기분 좋아요' 선택 시 확률적으로 가능	갈색	하늘색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Idol.png
2454	K.K.파리	https://acnhcdn.com/latest/FtrIcon/mjk_Paris.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '기분 좋아요' 선택 시 확률적으로 가능	갈색	컬러풀	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Paris.png
2448	추억의 K.K.가요	https://acnhcdn.com/latest/FtrIcon/mjk_ShowaKayo.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '우울해요' 선택 시 확률적으로 가능	갈색	하얀색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_ShowaKayo.png
2443	유로 비트	https://acnhcdn.com/latest/FtrIcon/mjk_EuroBeat.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '기분 나빠요' 선택 시 확률적으로 가능	갈색	분홍색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_EuroBeat.png
4314	드라이브	https://acnhcdn.com/latest/FtrIcon/mjk_Drive.png	null	800	K.K.의 공연	신청곡	갈색	없음	비매품	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Drive.png
4313	작별	https://acnhcdn.com/latest/FtrIcon/mjk_Sayonara.png	null	800	K.K.의 공연	신청곡	갈색	없음	비매품	No	1x1	https://acnhcdn.com/latest/Audio/mjk_Sayonara.png
2461	숲 속 생활	https://acnhcdn.com/latest/FtrIcon/mjk_MoriNoSeikatsu.png	3200	800	"K.K.의 공연, 너굴 쇼핑 카탈로그"	기분 '나른해요' 선택 시 확률적으로 가능	갈색	노란색	구매가능	No	1x1	https://acnhcdn.com/latest/Audio/mjk_MoriNoSeikatsu.png
