Internal ID,Name,Image,Buy,Sell,Source,Source Notes,Color 1,Color 2,Catalog,DIY,Size,HHA Concept 1,HHA Concept 2,HHA Series,VFX,Window Type,Window Color,Pane Type,Curtain Type,Curtain Color,Ceiling Type
4873,abstract wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallAbstract00.png,1560,390,Nook's Cranny,,White,Colorful,For sale,No,,shop,facility,None,No,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth
4936,ancient wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallEgypt00.png,3000,750,Saharah,,Beige,Brown,Not for sale,No,,folk art,horror,None,No,None,NA,NA,None,NA,Stone
4916,apple wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallApple00.png,NFS,4000,Crafting,,Red,Red,Not for sale,Yes,,fancy,child's room,fruits,No,Four Pane,Grey Wood,Glass,Roller Shades,White,Cloth
4930,aqua tile wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallTile01.png,1420,355,Nook's Cranny,,Light blue,Light blue,For sale,No,,bathroom,facility,None,No,Single Pane,White Metal,Glass,Slatted Blinds,White Plastic,Stone
5482,arched-window wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallGlass00.png,2150,537,Nook's Cranny,,Brown,Light blue,For sale,No,,shop,expensive,None,Yes,None,NA,NA,None,NA,Wood
4905,autumn wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallAutumun00.png,NFS,4700,Crafting,,Brown,Orange,Not for sale,Yes,,garden,None,tree's bounty or leaves ,Yes,None,NA,NA,None,NA,Wood
5481,backyard-fence wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallBackyard00.png,3000,750,Saharah,,Light blue,White,Not for sale,No,,garden,None,None,Yes,None,NA,NA,None,NA,Plain
4833,bamboo wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallBamboo00.png,NFS,2400,Crafting,,Green,Beige,Not for sale,Yes,,zen-style,None,bamboo,No,None,NA,NA,None,NA,Wood
4853,bamboo-grove wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallChikurin00.png,NFS,4300,Crafting,,Green,Green,Not for sale,Yes,,zen-style,None,bamboo,No,None,NA,NA,None,NA,Wood
4836,bamboo-screen wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallRattan00.png,1770,442,Nook's Cranny,,Brown,Brown,For sale,No,,zen-style,None,None,No,None,NA,NA,None,NA,Stone
4839,bank-vault wall,https://acnhcdn.com/latest/FtrIcon/RoomTexWallSafeBox00.png,3000,750,Saharah,,Gray,Gray,Not for sale,No,,facility,expensive,None,No,None,NA,NA,None,NA,Tile
5559,basic wall,https://acnhcdn.com/latest/FtrIcon/RoomSpWallSimplePanel00.png,600,150,Nook's Cranny,,White,White,For sale,No,,office,facility,None,Yes,None,NA,NA,None,NA,Tile
